"id","activity_timestamp","itemid","type"
"10","2013-07-01T14:53:52.127","C4pxuKP","3"
"12","2013-07-01T14:54:13.216","C4pxAHP","0"
"24","2013-07-01T14:54:20.073","C4pxE1N","3"
"25","2013-07-01T14:55:25.473","C4pxYjE","0"
"26","2013-07-01T14:55:31.478","C4pxYjE","0"
"27","2013-07-01T14:55:42.018","C4py4bs","0"
"39","2013-07-01T14:55:53.631","C4py99v","5"
"40","2013-07-01T14:57:27.455","C4pxE1N","5"
"41","2013-07-01T14:57:38.970","C4pxE1Q","5"
"42","2013-07-01T14:57:49.412","C4pxE1U","5"
"43","2013-07-01T14:58:04.497","C4pxE23","5"
"44","2013-07-01T14:58:22.417","C4pxuKR","5"
"45","2013-07-01T14:58:33.551","C4py6Td","5"
"46","2013-07-01T14:58:45.142","C4py6Tf","5"
"47","2013-07-01T15:00:35.865","C4pxE1N","0"
"48","2013-07-01T15:00:47.972","C4pxE1N","0"
"49","2013-07-01T15:00:48.988","C4pxuKP","0"
"50","2013-07-01T15:03:21.911","C4py99v","0"
"51","2013-07-01T15:03:54.802","C4pxE1Q","0"
"52","2013-07-01T15:06:19.526","C4pxE1N","0"
"53","2013-07-01T15:06:23.659","C4pxE1N","0"
"54","2013-07-01T15:06:27.325","C4pxE1N","0"
"55","2013-07-01T15:07:29.487","C4py6Tf","0"
"60","2013-07-01T15:08:32.942","C4pC2De","3"
"61","2013-07-01T15:08:32.982","C4pC2De","5"
"62","2013-07-01T15:08:33.031","C4pC2CW","3"
"63","2013-07-01T15:08:33.089","C4pC2CW","5"
"67","2013-07-01T15:08:33.185","C4pC2CA","5"
"74","2013-07-01T15:08:33.784","C4pC365","5"
"77","2013-07-01T15:08:56.332","C4pC9tB","3"
"79","2013-07-01T15:08:56.373","C4pC9tB","5"
"80","2013-07-01T15:08:56.421","C4pC9tx","3"
"81","2013-07-01T15:08:56.455","C4pC9tx","5"
"83","2013-07-01T15:08:56.588","C4pC9tA","3"
"84","2013-07-01T15:08:56.646","C4pC9tA","5"
"93","2013-07-01T15:08:57.516","C4pCa42","3"
"94","2013-07-01T15:11:39.846","C4pCYx7","0"
"95","2013-07-01T15:12:55.023","C4pxE23","0"
"96","2013-07-01T15:17:43.193","C4pxuKR","0"
"97","2013-07-01T15:17:52.153","C4pxE1N","0"
"98","2013-07-01T15:17:55.747","C4pxE1N","0"
"99","2013-07-01T15:18:30.775","C4pxE1Q","0"
"100","2013-07-01T15:26:57.222","C4pxE1N","0"
"101","2013-07-01T15:27:34.352","C4pxuKP","0"
"102","2013-07-01T15:27:57.339","C4pxE1Q","0"
"103","2013-07-01T15:32:06.298","C4pKgT6","0"
"115","2013-07-01T15:32:34.849","C4pKqqS","3"
"116","2013-07-01T15:32:50.373","C4pxE1N","0"
"117","2013-07-01T15:32:51.576","C4pxuKP","0"
"118","2013-07-01T15:32:53.047","C4pxE1Q","0"
"119","2013-07-01T15:33:07.936","C4pxE1Q","0"
"120","2013-07-01T15:33:07.975","C4pxuKP","0"
"121","2013-07-01T15:33:50.016","C4pxE1N","0"
"122","2013-07-01T15:33:53.121","C4pxE1N","0"
"123","2013-07-01T15:39:56.118","C4pxE1N","0"
"124","2013-07-01T15:42:09.066","C4pxE1N","0"
"125","2013-07-01T15:42:14.834","C4pxE1N","0"
"126","2013-07-01T15:42:21.571","C4pxE1N","0"
"127","2013-07-01T16:06:52.804","C4pVYct","0"
"130","2013-07-01T16:07:16.640","C4pW6ts","3"
"131","2013-07-01T16:16:14.643","C4pxE1N","0"
"132","2013-07-01T16:26:34.965","C4q32BV","0"
"133","2013-07-01T16:26:47.334","C4q36hM","0"
"134","2013-07-01T16:27:43.859","C4q3o6S","0"
"135","2013-07-01T16:28:32.470","C4q3o6S","0"
"136","2013-07-01T16:36:42.607","C4q32BV","0"
"137","2013-07-01T17:06:16.841","C4qfcZh","0"
"138","2013-07-01T17:07:00.015","C4qfrhz","0"
"139","2013-07-01T17:08:22.047","C4qfRTr","0"
"140","2013-07-01T17:25:59.051","C4qmgZU","0"
"141","2013-07-01T17:26:08.763","C4qmgZU","0"
"142","2013-07-01T18:44:11.655","C4qLk65","0"
"143","2013-07-01T18:44:18.056","C4qLk65","0"
"158","2013-07-01T18:44:35.726","C4qLsDZ","3"
"159","2013-07-02T06:30:34.361","C4pxE1N","0"
"160","2013-07-02T06:31:08.939","C4uvHSS","0"
"161","2013-07-02T06:31:15.679","C4uvHSS","0"
"162","2013-07-02T06:31:19.408","C4uvHSS","0"
