"id","bbox"
"100","BOX(-75.943502  37.094015,-75.051999 38.634369)"
  "1","BOX(-75.943502 37.094015,-75.051999 38.634369)"
  "2","BOX(-75.943502 37.094015,-75.051999 38.634369)"
  "3","BOX(-75.943502 37.094015,-75.051999 38.634369)"
  "4","BOX(-75.943502 37.094015,-75.051999 38.634369)"
  "5","BOX(-75.943502 37.094015,-75.051999 38.634369)"
  "8","BOX(-75.943502 37.094015,-75.051999 38.634369)"
  "9","BOX( -97.56557 25.02372,-80.39934 30.73591)"
 "10","BOX(  -81.7985 24.5485,-66.95779 45.09834)"
 "11","BOX( -124.7608 32.56119,-117.10123 48.38805)"
 "12","BOX( -124.7608 24.5485,-66.95779 48.38805)"
 "13","BOX( -124.7608 24.5485,-66.95779 48.38805)"
 "14","BOX(-75.943502 37.094015,-75.051999 38.634369)"
 "15","BOX(-75.943502 37.094015,-75.051999 38.634369)"
