"id","full_id","link","title","type","list_index"
"0","2539","http://coastal.er.usgs.gov/hurricanes/sandy/coastal-change/","Hurricane Sandy Assessment of Potential Coastal-Change Impacts","resources","0"
"1","2539","http://coastal.er.usgs.gov/hurricanes/","Coastal Change Hazards: Hurricanes and Extreme Storms","resources","1"
"2","2539","http://www.nws.noaa.gov/mdl/psurge/","Tropical Cyclone Storm Surge Exceedance","resources","2"
"3","2539","http://nomads.ncep.noaa.gov:9090/dods/wave/","NOAA Wavewatch III","resources","3"
"4","2539","http://pubs.usgs.gov/ds/638/","EAARL Coastal Topography-Virginia, Post-Nor'Ida, 2009","publications","4"
"5","2539","http://pubs.usgs.gov/ds/562/","EAARL Coastal Topography-Maryland and Delaware, Post-Nor'Ida, 2009","publications","5"
"6","2543","http://coastal.er.usgs.gov/hurricanes/sandy/coastal-change/","Hurricane Sandy Assessment of Potential Coastal-Change Impacts","resources","0"
"7","2543","http://coastal.er.usgs.gov/hurricanes/","Coastal Change Hazards: Hurricanes and Extreme Storms","resources","1"
"8","2543","http://www.nws.noaa.gov/mdl/psurge/","Tropical Cyclone Storm Surge Exceedance","resources","2"
"9","2543","http://nomads.ncep.noaa.gov:9090/dods/wave/","NOAA Wavewatch III","resources","3"
"10","2543","http://pubs.usgs.gov/ds/638/","EAARL Coastal Topography-Virginia, Post-Nor'Ida, 2009","publications","4"
"11","2543","http://pubs.usgs.gov/ds/562/","EAARL Coastal Topography-Maryland and Delaware, Post-Nor'Ida, 2009","publications","5"
"12","2547","http://coastal.er.usgs.gov/hurricanes/sandy/coastal-change/","Hurricane Sandy Assessment of Potential Coastal-Change Impacts","resources","0"
"13","2547","http://coastal.er.usgs.gov/hurricanes/","Coastal Change Hazards: Hurricanes and Extreme Storms","resources","1"
"14","2547","http://www.nws.noaa.gov/mdl/psurge/","Tropical Cyclone Storm Surge Exceedance","resources","2"
"15","2547","http://nomads.ncep.noaa.gov:9090/dods/wave/","NOAA Wavewatch III","resources","3"
"16","2547","http://pubs.usgs.gov/ds/638/","EAARL Coastal Topography-Virginia, Post-Nor'Ida, 2009","publications","4"
"17","2547","http://pubs.usgs.gov/ds/562/","EAARL Coastal Topography-Maryland and Delaware, Post-Nor'Ida, 2009","publications","5"
"18","2551","http://coastal.er.usgs.gov/hurricanes/sandy/coastal-change/","Hurricane Sandy Assessment of Potential Coastal-Change Impacts","resources","0"
"19","2551","http://coastal.er.usgs.gov/hurricanes/","Coastal Change Hazards: Hurricanes and Extreme Storms","resources","1"
"20","2551","http://www.nws.noaa.gov/mdl/psurge/","Tropical Cyclone Storm Surge Exceedance","resources","2"
"21","2551","http://nomads.ncep.noaa.gov:9090/dods/wave/","NOAA Wavewatch III","resources","3"
"22","2551","http://pubs.usgs.gov/ds/638/","EAARL Coastal Topography-Virginia, Post-Nor'Ida, 2009","publications","4"
"23","2551","http://pubs.usgs.gov/ds/562/","EAARL Coastal Topography-Maryland and Delaware, Post-Nor'Ida, 2009","publications","5"
"24","2555","http://coastal.er.usgs.gov/hurricanes/sandy/coastal-change/","Hurricane Sandy Assessment of Potential Coastal-Change Impacts","resources","0"
"25","2555","http://coastal.er.usgs.gov/hurricanes/","Coastal Change Hazards: Hurricanes and Extreme Storms","resources","1"
"26","2555","http://www.nws.noaa.gov/mdl/psurge/","Tropical Cyclone Storm Surge Exceedance","resources","2"
"27","2555","http://nomads.ncep.noaa.gov:9090/dods/wave/","NOAA Wavewatch III","resources","3"
"28","2555","http://pubs.usgs.gov/ds/638/","EAARL Coastal Topography-Virginia, Post-Nor'Ida, 2009","publications","4"
"29","2555","http://pubs.usgs.gov/ds/562/","EAARL Coastal Topography-Maryland and Delaware, Post-Nor'Ida, 2009","publications","5"
"30","2577","http://coastal.er.usgs.gov/hurricanes/sandy/coastal-change/","Hurricane Sandy Assessment of Potential Coastal-Change Impacts","resources","0"
"31","2577","http://coastal.er.usgs.gov/hurricanes/","Coastal Change Hazards: Hurricanes and Extreme Storms","resources","1"
"32","2577","http://www.nws.noaa.gov/mdl/psurge/","Tropical Cyclone Storm Surge Exceedance","resources","2"
"33","2577","http://nomads.ncep.noaa.gov:9090/dods/wave/","NOAA Wavewatch III","resources","3"
"34","2577","http://pubs.usgs.gov/ds/638/","EAARL Coastal Topography-Virginia, Post-Nor'Ida, 2009","publications","4"
"35","2577","http://pubs.usgs.gov/ds/562/","EAARL Coastal Topography-Maryland and Delaware, Post-Nor'Ida, 2009","publications","5"
"36","2581","http://coastal.er.usgs.gov/hurricanes/sandy/coastal-change/","Hurricane Sandy Assessment of Potential Coastal-Change Impacts","resources","0"
"37","2581","http://coastal.er.usgs.gov/hurricanes/","Coastal Change Hazards: Hurricanes and Extreme Storms","resources","1"
"38","2581","http://www.nws.noaa.gov/mdl/psurge/","Tropical Cyclone Storm Surge Exceedance","resources","2"
"39","2581","http://nomads.ncep.noaa.gov:9090/dods/wave/","NOAA Wavewatch III","resources","3"
"40","2581","http://pubs.usgs.gov/ds/638/","EAARL Coastal Topography-Virginia, Post-Nor'Ida, 2009","publications","4"
"41","2581","http://pubs.usgs.gov/ds/562/","EAARL Coastal Topography-Maryland and Delaware, Post-Nor'Ida, 2009","publications","5"
"42","2585","http://coastal.er.usgs.gov/hurricanes/sandy/coastal-change/","Hurricane Sandy Assessment of Potential Coastal-Change Impacts","resources","0"
"43","2585","http://coastal.er.usgs.gov/hurricanes/","Coastal Change Hazards: Hurricanes and Extreme Storms","resources","1"
"44","2585","http://www.nws.noaa.gov/mdl/psurge/","Tropical Cyclone Storm Surge Exceedance","resources","2"
"45","2585","http://nomads.ncep.noaa.gov:9090/dods/wave/","NOAA Wavewatch III","resources","3"
"46","2585","http://pubs.usgs.gov/ds/638/","EAARL Coastal Topography-Virginia, Post-Nor'Ida, 2009","publications","4"
"47","2585","http://pubs.usgs.gov/ds/562/","EAARL Coastal Topography-Maryland and Delaware, Post-Nor'Ida, 2009","publications","5"
"48","2601","http://coastal.er.usgs.gov/hurricanes/sandy/coastal-change/","Hurricane Sandy Assessment of Potential Coastal-Change Impacts","resources","0"
"49","2601","http://coastal.er.usgs.gov/hurricanes/","Coastal Change Hazards: Hurricanes and Extreme Storms","resources","1"
"50","2601","http://www.nws.noaa.gov/mdl/psurge/","Tropical Cyclone Storm Surge Exceedance","resources","2"
"51","2601","http://nomads.ncep.noaa.gov:9090/dods/wave/","NOAA Wavewatch III","resources","3"
"52","2601","http://pubs.usgs.gov/ds/638/","EAARL Coastal Topography-Virginia, Post-Nor'Ida, 2009","publications","4"
"53","2601","http://pubs.usgs.gov/ds/562/","EAARL Coastal Topography-Maryland and Delaware, Post-Nor'Ida, 2009","publications","5"
"54","4001","http://pubs.usgs.gov/of/2000/of00-179/","National Assessment of Coastal Vulnerability to Sea-Level Rise: Preliminary Results for the U.S. Gulf of Mexico Coast","resources","0"
"55","4001","http://pubs.usgs.gov/dds/dds68/","Coastal Vulnerability to Sea-Level Rise: A Preliminary Database for the U.S. Atlantic, Pacific and Gulf of Mexico Coasts","data","1"
"56","4001","http://woodshole.er.usgs.gov/project-pages/cvi/","National Assessment of Coastal Vulnerability to Sea-Level Rise","resources","2"
"57","4003","http://pubs.usgs.gov/of/1999/of99-593/","National Assessment of Coastal Vulnerability to Sea-Level Rise: Preliminary Results for the U.S. Atlantic Coast","resources","0"
"58","4003","http://pubs.usgs.gov/dds/dds68/","Coastal Vulnerability to Sea-Level Rise: A Preliminary Database for the U.S. Atlantic, Pacific and Gulf of Mexico Coasts","data","1"
"59","4003","http://woodshole.er.usgs.gov/project-pages/cvi/","National Assessment of Coastal Vulnerability to Sea-Level Rise","resources","2"
"60","4005","http://pubs.usgs.gov/of/2000/of00-179/","National Assessment of Coastal Vulnerability to Sea-Level Rise: Preliminary Results for the U.S. Pacific Coast","resources","0"
"61","4005","http://pubs.usgs.gov/dds/dds68/","Coastal Vulnerability to Sea-Level Rise: A Preliminary Database for the U.S. Atlantic, Pacific and Gulf of Mexico Coasts","data","1"
"62","4005","http://woodshole.er.usgs.gov/project-pages/cvi/","National Assessment of Coastal Vulnerability to Sea-Level Rise","resources","2"
"63","4007","http://pubs.usgs.gov/of/2000/of00-179/","National Assessment of Coastal Vulnerability to Sea-Level Rise: Preliminary Results for the U.S. Gulf of Mexico Coast","publications","0"
"64","4007","http://pubs.usgs.gov/of/1999/of99-593/","National Assessment of Coastal Vulnerability to Sea-Level Rise: Preliminary Results for the U.S. Atlantic Coast","publications","1"
"65","4007","http://pubs.usgs.gov/of/2000/of00-179/","National Assessment of Coastal Vulnerability to Sea-Level Rise: Preliminary Results for the U.S. Pacific Coast","publications","2"
"66","4007","http://pubs.usgs.gov/dds/dds68/","Coastal Vulnerability to Sea-Level Rise: A Preliminary Database for the U.S. Atlantic, Pacific and Gulf of Mexico Coasts","data","3"
"67","4007","http://woodshole.er.usgs.gov/project-pages/cvi/","National Assessment of Coastal Vulnerability to Sea-Level Rise","resources","4"
"68","5010","http://coastal.er.usgs.gov/hurricanes/sandy/coastal-change/","Hurricane Sandy Assessment of Potential Coastal-Change Impacts","resources","0"
"69","5010","http://coastal.er.usgs.gov/hurricanes/","Coastal Change Hazards: Hurricanes and Extreme Storms","resources","1"
"70","5010","http://www.nws.noaa.gov/mdl/psurge/","Tropical Cyclone Storm Surge Exceedance","resources","2"
"71","5010","http://nomads.ncep.noaa.gov:9090/dods/wave/","NOAA Wavewatch III","resources","3"
"72","5010","http://pubs.usgs.gov/ds/638/","EAARL Coastal Topography-Virginia, Post-Nor'Ida, 2009","publications","4"
"73","5010","http://pubs.usgs.gov/ds/562/","EAARL Coastal Topography-Maryland and Delaware, Post-Nor'Ida, 2009","publications","5"
"74","5011","http://coastal.er.usgs.gov/hurricanes/sandy/coastal-change/","Hurricane Sandy Assessment of Potential Coastal-Change Impacts","resources","0"
