"id","bbox_id","item_type","summary_id","attr","name","type","ribbonable","show_children","enabled"
"C67kPYv","0","data","2538","PCOL","sandy","storms","true","","true"
"C67kQoQ","1","data","2542","POVW","sandy","storms","true","","true"
"C67kRjP","2","data","2550","MEAN","sandy","storms","true","","true"
"C67kRQ2","3","data","2554","EXTREME","sandy","storms","true","","true"
"C67pzz9","4","data","2576","DHIGH","sandy","storms","true","","true"
"C67pBhx","5","data","2580","DLOW","sandy","storms","true","","true"
"C7gBuZi","9","data","4000","CVIRISK","Gulf old school","vulnerability","false","","true"
"C7gBVEg","10","data","4002","CVIRISK","Atlantic old school","vulnerability","false","","true"
"C7gBjpN","11","data","4004","CVIRISK","Pacific old school","vulnerability","false","","true"
"C7gabcd","12","aggregation","4006","","old CVI agg","vulnerability","false","false","true"
"D68abcd","14","aggregation","5000","","sandy_dune_agg","storms","true","true","true"
"E68abcd","15","aggregation","5001","","sandy_pcoi_agg","storms","true","true","true"
"C68abcd","8","aggregation","2600","","sandy_agg","storms","true","true","true"
"uber","13","uber","2601","","uber","mixed","false","true","true"
